Source,Target,Distance,ExecutionTime
1584052259,4416923725,15908,00000,939459
4329605854,1087134976,-1,00000,1326041
1531139543,3897688032,18823,00000,1096875
1488977365,5233449428,12280,00000,952583
14835448,4602505226,20802,00000,1433291
392294351,1164767518,7551,00000,887416
1205837070,1139667121,12920,00000,1413792
1643208864,1507731893,5038,00000,932541
5367468583,766680022,4901,00000,1487500
1821473756,1099430378,16101,00000,1638375
281974114,2502632574,11095,00000,2005875
496179434,83745296,14582,00000,3331916
4629483390,1125192709,8848,00000,1550166
2217956729,33152970,16356,00000,2455667
147555,864034905,18602,00000,2612417
1436938626,291326368,17701,00000,2780416
428037617,265900832,8273,00000,2461917
4741017363,1153165396,17938,00000,2835709
